,Unit Name,Part,Rep Machine Class,Cost Per kg,weight,Supplier Name,MGC,DM Cost
526927,Mannheim,AL176425,OFP,18.833333333333336,0.36,ARGUS FLUIDTECHNIK GMBH,D03030110,6.78
526929,Mannheim,AL176425,OFP,20.545454545454547,0.33,ARGUS FLUIDTECHNIK GMBH,D03030110,6.78
527956,Mannheim,AL224170,OFP,25.222222222222218,0.54,DIRISAMER ROHRBIEGETECHNIK,D03030200,13.62
565219,Mannheim,L113559,OFP,5.832558139534884,2.15,HERN S.R.O.,D14010110,12.54
583655,Mannheim,R136015,OFP,99.5,0.02,HUISSEL GMBH,D14010110,1.99
677374,Mannheim,AL168548,OFP,30.333333333333336,0.84,ARGUS FLUIDTECHNIK GMBH,D03030110,25.48
677375,Mannheim,AL168548,OFP,39.2,0.65,ARGUS FLUIDTECHNIK GMBH,D03030110,25.48
683299,Mannheim,AL209750,OFP,16.875999999999998,2.5,PKI ZERSPANUNGSTECHNIK,D07010301,42.19
683476,Mannheim,AL212189,OFP,15.443548387096774,0.62,ARGUS FLUIDTECHNIK GMBH,D03030110,9.575
691686,Mannheim,L155730,OFP,16.594594594594593,0.37,PROGUM GMBH,D03030110,6.14
693388,Mannheim,L168821,OFP,1.8178466076696163,27.12,PKI ZERSPANUNGSTECHNIK,D07010301,49.3
693398,Mannheim,L168822,OFP,1.8178466076696163,27.12,PKI ZERSPANUNGSTECHNIK,D07010301,49.3
697779,Mannheim,R228266,OFP,5.235207100591716,6.76,PKI ZERSPANUNGSTECHNIK,D07010301,35.39
697804,Mannheim,R246017,OFP,4.498850574712644,4.35,PKI ZERSPANUNGSTECHNIK,D07010301,19.57
697809,Mannheim,R248222,OFP,3.314814814814815,0.54,HUISSEL GMBH,D14010110,1.79
920850,Mannheim,61H1603,OFP,34.81818181818182,0.11,ARCO ARMATURENFABRIK,D03050400,3.83
1008126,Mannheim,61M5017,OFP,11.666666666666666,0.12,ARCO ARMATURENFABRIK,D03050400,1.4
1008135,Mannheim,61M5017,OFP,10.769230769230768,0.13,ARCO ARMATURENFABRIK,D03050400,1.4
1008228,Mannheim,61M5017,OFP,11.683333333333334,0.12,ARCO ARMATURENFABRIK,D03050400,1.402
1008237,Mannheim,61M5017,OFP,10.784615384615384,0.13,ARCO ARMATURENFABRIK,D03050400,1.402
1296993,Mannheim,61M5004,OFP,11.136363636363637,0.11,ARCO ARMATURENFABRIK,D03050400,1.225
1297019,Mannheim,61M5004,OFP,11.181818181818182,0.11,ARCO ARMATURENFABRIK,D03050400,1.23
1297045,Mannheim,61M5004,OFP,11.15090909090909,0.11,ARCO ARMATURENFABRIK,D03050400,1.2266
1297097,Mannheim,61M5004,OFP,11.142727272727273,0.11,ARCO ARMATURENFABRIK,D03050400,1.2257
1297123,Mannheim,61M5004,OFP,11.14090909090909,0.11,ARCO ARMATURENFABRIK,D03050400,1.2255
1297175,Mannheim,61M5004,OFP,11.148181818181818,0.11,ARCO ARMATURENFABRIK,D03050400,1.2263
